,Average delay ms,Maximum delay at,Maximum delay ms,Runtime ms,Switches,Task
0,:2.652,76386.452251,:10.046,0.000,4,perf:32163
1,:2.011,76386.520188,:7.995,0.000,17,rs:mainQ:Reg:626
2,:1.842,76416.091213,:6.458,0.000,217,wicd:984
3,:1.836,76429.432079,:10.700,0.000,21,cron:(2)
4,:1.514,76429.453156,:5.016,0.000,6,sh:32182
5,:1.178,76386.512226,:11.929,0.000,25,systemd-journal:118
6,:1.174,76429.698239,:2.622,0.000,46,ps:32186
7,:1.058,76406.038064,:3.274,0.000,141,ifconfig:(12)
8,:0.797,76391.022349,:2.427,0.000,134,wicd-monitor:990
9,:0.442,76407.369073,:11.800,0.000,2428,sshd:(9)
10,:0.137,76386.504340,:16.086,0.000,64425,.koworker:(6)
11,:0.080,76406.013984,:1.119,0.000,86,dbus-daemon:518
12,:0.077,76429.752245,:0.154,0.000,2,systemd:1
13,:0.062,76437.665241,:0.165,0.000,4,kworker/0:1:32113
14,:0.049,76389.376803,:0.110,0.000,23,avahi-daemon:500
15,:0.038,76396.212389,:0.295,0.000,332,kworker/u2:1:27770
16,:0.032,76439.009324,:0.256,0.000,94,ksoftirqd/0:7
17,:0.022,76410.084082,:4.619,0.000,11984,cyclictest:(2)
18,:0.020,76421.082143,:0.045,0.000,9,mmcqd/1:89
19,:0.017,76416.808227,:0.028,0.000,3,apache2:808
20,:0.000,0.000000,:0.000,0.000,2,kthreadd:(2)
21,:0.000,0.000000,:0.000,0.000,1,rsyslogd:627
22,:0.000,0.000000,:0.000,0.000,1,ptp0:1120
23,:0.000,0.000000,:0.000,0.000,1,kworker/u2:2:25757
24,:0.000,0.000000,:0.000,0.000,1,kworker/0:2:25061
25,:0.000,0.000000,:0.000,0.000,1,kworker/0:1H:96
26,:0.000,0.000000,:0.000,0.000,1,jbd2/mmcblk1p2-:97
27,:0.000,0.000000,:0.000,0.000,1,irq/31-44e0b000:90
