,parameter,process_name,process_time
0,0,brk,0.001891
1,3,close,0.000146
2,3,close,0.000287
3,3,close,0.000207
4,3,close,0.000215
5,0xb6f0b068,set_tid_address,0.000236
6,3,close,0.000270
7,SCHED_FIFO,sched_get_priority_min,0.000285
8,0,brk,0.000416
9,0x480000,brk,0.000157
10,SCHED_FIFO,sched_get_priority_min,0.000178
11,SCHED_FIFO,sched_get_priority_max,0.000120
12,SCHED_FIFO,sched_get_priority_min,0.000141
13,SCHED_FIFO,sched_get_priority_max,0.000100
14,SCHED_FIFO,sched_get_priority_min,0.000185
15,SCHED_FIFO,sched_get_priority_max,0.000110
16,SCHED_FIFO,sched_get_priority_min,0.000131
17,SCHED_FIFO,sched_get_priority_max,0.000097
18,SCHED_FIFO,sched_get_priority_min,0.000133
19,SCHED_FIFO,sched_get_priority_max,0.000107
20,SCHED_FIFO,sched_get_priority_min,0.000113
21,SCHED_FIFO,sched_get_priority_max,0.000096
22,3,close,0.000130
23,0,exit_group,0.000205
