,pid,process_name,process_time
0,0.004430,0,brk
1,0.000401,3,close
2,0.000928,3,close
3,0.000469,3,close
4,0.000477,3,close
5,0.000465,0xb6fad068,set_tid_address
6,0.000689,3,close
7,0.001075,SCHED_FIFO,sched_get_priority_min
8,0.000639,0,brk
9,0.000341,0x9e7000,brk
10,0.000379,SCHED_FIFO,sched_get_priority_min
11,0.000307,SCHED_FIFO,sched_get_priority_max
12,0.000354,SCHED_FIFO,sched_get_priority_min
13,0.000275,SCHED_FIFO,sched_get_priority_max
14,0.000404,SCHED_FIFO,sched_get_priority_min
15,0.000586,SCHED_FIFO,sched_get_priority_max
16,0.000334,SCHED_FIFO,sched_get_priority_min
17,0.000271,SCHED_FIFO,sched_get_priority_max
18,0.000686,SCHED_FIFO,sched_get_priority_min
19,0.000344,SCHED_FIFO,sched_get_priority_max
20,0.000325,SCHED_FIFO,sched_get_priority_min
21,0.000273,SCHED_FIFO,sched_get_priority_max
22,0.001829,3,close
23,0.003945,0,exit_group
